Buy Date,Volume Change (%),Price Change (%),Buy Price,Sell Date,Sell Price,Return (%)
2024-02-22,108.81615675968006,2.3546670644984724,411.65,2024-03-07,409.14,-0.609741285072268
2024-03-12,104.24321716987235,2.6599426480767407,415.28,2024-03-26,421.65,1.5339048352918525
2024-03-14,163.0750143217823,2.4379667549987882,425.22,2024-03-28,420.72,-1.058275716099901
2024-09-10,110.84928061785581,2.0901114068815785,414.2,2024-09-24,429.17,3.6141960405601226
2024-09-11,109.04275694401662,2.134234669241919,423.04,2024-09-25,432.11,2.1440052950075628
2024-10-22,152.57698207266054,2.0846267730073142,427.51,2024-11-05,411.46,-3.754298145072633
2024-11-06,131.6641722313371,2.1192825548048466,420.18,2024-11-20,415.49,-1.1161883002522723
